iter	Logloss
0	0.6565611964
1	0.6284021416
2	0.6035373562
3	0.5825201355
4	0.5638521843
5	0.549056363
6	0.5356492924
7	0.5232110793
8	0.5126764973
9	0.5021815492
10	0.4938779276
11	0.4867651621
12	0.4793902934
13	0.4726508119
14	0.4657788349
15	0.4599574761
16	0.4547849639
17	0.4503469909
18	0.4474174969
19	0.4440751026
20	0.4410337434
21	0.4381744169
22	0.4357263908
23	0.4332187011
24	0.4310375402
25	0.4291517379
26	0.427824261
27	0.4267105742
28	0.4250961253
29	0.4240523877
30	0.42230311
31	0.4202591472
32	0.4187415568
33	0.4176795893
34	0.4161697724
35	0.415169871
36	0.414157013
37	0.413307335
38	0.4121203243
39	0.410878702
40	0.4099954045
41	0.4091720882
42	0.4082013689
43	0.4076033326
44	0.4071168984
45	0.4063591434
46	0.406169022
47	0.4055546348
48	0.4050888692
49	0.4045775775
50	0.4041824461
51	0.4041335674
52	0.4035786863
53	0.4032879207
54	0.4031470726
55	0.403031102
56	0.4029085145
57	0.4028852255
58	0.4028790366
59	0.4028258737
60	0.4025132386
61	0.4022708679
62	0.4017169762
63	0.4017124531
64	0.4015180761
65	0.4009961688
66	0.4009890342
67	0.4005450712
68	0.4005419342
69	0.4002150932
70	0.4001452785
71	0.3999570411
72	0.3998542756
73	0.3995574003
74	0.3993466911
75	0.3993448347
76	0.3991585825
77	0.3991257453
78	0.399106092
79	0.3990977378
