iter	Passed	Remaining
0	1	141
1	3	135
2	4	128
3	6	122
4	7	119
5	10	125
6	11	122
7	13	120
8	15	118
9	16	113
10	17	106
11	17	100
12	19	99
13	20	98
14	22	97
15	23	95
16	25	95
17	27	94
18	28	90
19	29	89
20	31	88
21	33	87
22	34	84
23	35	83
24	37	82
25	38	79
26	39	77
27	40	75
28	41	73
29	42	70
30	44	69
31	45	68
32	47	67
33	48	66
34	50	65
35	52	63
36	54	62
37	55	61
38	57	60
39	59	59
40	61	58
41	63	57
42	64	55
43	66	54
44	67	52
45	69	51
46	71	50
47	72	48
48	74	47
49	76	45
50	77	44
51	78	42
52	80	40
53	82	39
54	83	38
55	85	36
56	86	34
57	88	33
58	88	31
59	89	29
60	91	28
61	92	26
62	94	25
63	94	23
64	96	22
65	98	20
66	99	19
67	101	17
68	102	16
69	105	15
70	108	13
71	110	12
72	112	10
73	114	9
74	115	7
75	116	6
76	119	4
77	120	3
78	121	1
79	122	0
